"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"21","Congressional Hearings","CHRG-118hhrg53228","CHRG-118hhrg53228","The Vilnius Summit and War in Ukraine: Assessing U.S. Policy Towards Europe and NATO","https://www.govinfo.gov/app/details/CHRG-118hhrg53228/CHRG-118hhrg53228","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53228/pdf/CHRG-118hhrg53228.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53228/html/CHRG-118hhrg53228.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION June 22, 2023 Serial No. 118-37 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 53-...","","2023-06-22"
"22","Congressional Hearings","CHRG-118hhrg52142","CHRG-118hhrg52142","Surrounding the Ocean: PRC Influence in the Indian Ocean","https://www.govinfo.gov/app/details/CHRG-118hhrg52142/CHRG-118hhrg52142","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52142/pdf/CHRG-118hhrg52142.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52142/html/CHRG-118hhrg52142.htm","","",""," CONGRESS FIRST SESSION APRIL 18, 2023 Serial No. 118-14 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-142PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS ...","","2023-04-18"
"23","Congressional Hearings","CHRG-118hhrg53190","CHRG-118hhrg53190","The Ortega-Murillo Regimes War Against the Catholic Church and Civil Society in Nicaragua: Bishop Alvarez, Political Prisoners, and Prisoners of Conscience","https://www.govinfo.gov/app/details/CHRG-118hhrg53190/CHRG-118hhrg53190","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53190/pdf/CHRG-118hhrg53190.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53190/html/CHRG-118hhrg53190.htm","","",""," HEARING BEFORE THE SUBCOMMITTE ON GLOBAL HEALTH, GLOBAL HUMAN RIGHTS AND INTERNATIONAL ORGANIZATIONS of COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION March 22, 2023 Serial No. 118-5 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: ...","","2023-03-22"
"24","Congressional Hearings","CHRG-118hhrg54431","CHRG-118hhrg54431","Iran's Escalating Threats: Assessing U.S. Policy Toward Iran's Malign Activities","https://www.govinfo.gov/app/details/CHRG-118hhrg54431/CHRG-118hhrg54431","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54431/pdf/CHRG-118hhrg54431.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54431/html/CHRG-118hhrg54431.htm","","",""," CENTRAL ASIA OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION September 14, 2023 Serial No. 118-105 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://...","","2023-09-14"
"25","Congressional Hearings","CHRG-118hhrg56650","CHRG-118hhrg56650","Countering China on the World Stage: Empowering American Businesses and Denying Chinese Military Our Technology","https://www.govinfo.gov/app/details/CHRG-118hhrg56650/CHRG-118hhrg56650","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56650/pdf/CHRG-118hhrg56650.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56650/html/CHRG-118hhrg56650.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION MARCH 21, 2024 Serial No. 118-111 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 56-...","","2024-03-21"
"26","Congressional Hearings","CHRG-118hhrg53222","CHRG-118hhrg53222","Standing United Against the People's Republic of China's Economic Aggression. and Predatory Practices","https://www.govinfo.gov/app/details/CHRG-118hhrg53222/CHRG-118hhrg53222","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53222/pdf/CHRG-118hhrg53222.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53222/html/CHRG-118hhrg53222.htm","","","","THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION MAY 18, 2023 Serial No. 118-25 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT ...","","2023-05-18"
"27","Congressional Hearings","CHRG-118hhrg55922","CHRG-118hhrg55922","Examining the Flow of U.S. Money into China's Military Might","https://www.govinfo.gov/app/details/CHRG-118hhrg55922/CHRG-118hhrg55922","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55922/pdf/CHRG-118hhrg55922.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55922/html/CHRG-118hhrg55922.htm","","",""," CONGRESS SECOND SESSION JANUARY 17, 2024 Serial No. 118-76 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 55-922PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN ...","","2024-01-17"
"28","Congressional Hearings","CHRG-118hhrg53674","CHRG-118hhrg53674","Examining the Current U.S.-South Africa Bilateral Relationship","https://www.govinfo.gov/app/details/CHRG-118hhrg53674/CHRG-118hhrg53674","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53674/pdf/CHRG-118hhrg53674.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53674/html/CHRG-118hhrg53674.htm","","",""," REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION September 27, 2023 Serial No. 118-49 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 53-674PDF ...","","2023-09-27"
"29","Congressional Hearings","CHRG-118hhrg56739","CHRG-118hhrg56739","The Dire State of Religious Freedom Around the World","https://www.govinfo.gov/app/details/CHRG-118hhrg56739/CHRG-118hhrg56739","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56739/pdf/CHRG-118hhrg56739.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56739/html/CHRG-118hhrg56739.htm","","",""," OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION JULY 18, 2023 Serial No. 118-40 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. ...","","2023-07-18"
"30","Congressional Hearings","CHRG-118hhrg55685","CHRG-118hhrg55685","United Nations' Bigotry Towards Israel: Unrwa Anti-Semitism Poisons Palestinian Youth","https://www.govinfo.gov/app/details/CHRG-118hhrg55685/CHRG-118hhrg55685","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55685/pdf/CHRG-118hhrg55685.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg55685/html/CHRG-118hhrg55685.htm","","","","RIGHTS AND INTERNATIONAL ORGANIZATIONS of COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION NOVEMBER 8, 2023 Serial No. 118-59 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or...","","2023-11-08"
